"rank","artist","releaseYear"
1356,"Spinvis",2002
1357,"Chris Isaak",1987
1358,"Willie Nelson",1984
1359,"Editors",2013
1360,"Thin Lizzy",1976
1361,"Michael Jackson",1996
1362,"Roy Orbison",1963
1363,"Maroon 5",2004
1364,"Lorde",2013
1365,"House Of Pain",1992
1366,"Marco Borsato",1998
1367,"Tanita Tikaram",1988
1368,"Steve Miller Band",1976
1369,"Santana",1977
1370,"Yes",1971
1371,"Elton John",1971
1372,"Macklemore & Ryan Lewis",2013
1373,"Deep Purple",1970
1374,"Counting Crows",1996
1375,"Sex Pistols",1977
1376,"Frankie Goes To Hollywood",1984
1377,"R.E.M.",1987
1378,"Al Stewart",1977
1379,"Jeff Wayne",1978
1379,"Justin Hayward",1978
1380,"Jason Mraz",2008
1381,"Metallica",2008
1382,"The Rolling Stones",1966
1383,"Blink 182",1999
1384,"Santa Esmeralda",1977
1385,"Barbra Streisand",1980
1386,"Bruce Springsteen",1980
1387,"David Sylvian",1983
1388,"Paul Kalkbrenner",2008
1389,"Eva Cassidy",1998
1390,"Peter Sarstedt",1969
1391,"Coldplay",2002
1392,"Madonna",1990
1393,"Stevie Wonder",1977
1394,"Focus",1972
1395,"Therapy?",1995
1396,"Coldplay",2002
1397,"Green Day",2005
1398,"Bastille",2016
1399,"J.J. Cale",1973
1400,"Peter Frampton",1976
1401,"Toto",1988
1402,"Linkin Park",2003
1403,"Zager & Evans",1969
1404,"Fleetwood Mac",1987
1405,"Nina Simone",1987
1406,"Aerosmith",1989
1407,"Neil Diamond",1979
1408,"Scorpions",1991
1409,"U2",1988
1410,"Bette Midler",1984
1411,"Alphaville",1984
1412,"The Doors",1971
1413,"Marco Borsato",1999
1414,"Elvis Presley",1960
1415,"Beyoncé",2008
1416,"Melanie",1969
1417,"Vandenberg",1983
1418,"The B-52's",1989
1419,"Bruce Springsteen",1992
1420,"Waylon",2009
1421,"John Denver",1981
1422,"Dan Hartman",1980
1423,"John Legend",2005
1424,"Labi Siffre",1987
1425,"Matthias Reim",1990
1426,"Rare Earth",1970
1427,"Twenty One Pilots",2016
1428,"Cat Stevens",1970
1429,"Snowy White",1984
1430,"Earth & Fire",1972
1431,"Muse",2001
1432,"Ilse DeLange",2008
1433,"Backstreet Boys",1997
1434,"Blind Melon",1993
1435,"Elvis Presley",1972
1436,"Lady Antebellum",2010
1437,"Don Henley",1989
1438,"Bruce Hornsby & The Range",1986
1439,"Gilbert Becaud",1964
1440,"Monty Python",1981
1441,"Kiss",1979
1442,"Foster The People",2011
1443,"Michel Sardou",1982
1444,"Amanda Marshall",1995
1445,"Eminem",2002
1446,"Bee Gees",1987
1447,"James Bay",2015
1448,"Eels",1996
1449,"Kaiser Chiefs",2007
1450,"The Script",2012
1450,"Will.i.am",2012
1451,"Claw Boys Claw",1992
1452,"Stromae",2013
1453,"De Dijk",2008
1454,"Chef'Special",2017
1455,"The Doors",1970
1456,"PHD",1981
1457,"Walk The Moon",2014
1458,"Steve Miller Band",1973
1459,"Pet Shop Boys",1987
1460,"Jean Michel Jarre",1977
1461,"Charlie Daniels Band",1979
1462,"Annie Lennox",1992
1463,"George Michael",1997
1464,"Beastie Boys",1998
1465,"Fatboy Slim",1998
1466,"ABBA",1981
1467,"Janis Ian",1975
1468,"Genesis",1991
1469,"The Kinks",1967
1470,"Simon & Garfunkel",1970
1471,"Dr. Hook",1972
1472,"Bomfunk MC's",2000
1473,"Santana",1999
1473,"Rob Thomas",1999
1474,"Jeff Wayne",1978
1474,"Justin Hayward",1978
1475,"Earth & Fire",1979
1476,"Crowded House",1989
1477,"The Verve",1997
1478,"Foo Fighters",2009
1479,"Marco Borsato",1998
1480,"Counting Crows",1993
1481,"Manfred Mann's Earth Band",1976
1482,"James Bay",2014
1483,"Ed Sheeran",2014
1484,"Tim Hardin",1967
1485,"Barry White",1976
1486,"U2",2000
1487,"Mud",1974
1488,"Melissa Etheridge",1993
1489,"Crowded House",1992
1490,"Living Colour",1990
1491,"Crash Test Dummies",1994
1492,"The Script",2008
1493,"The Beatles",1966
1494,"Otis Redding",1966
1495,"Cyndi Lauper",1984
1496,"The Doobie Brothers",1973
1497,"De Kast",1999
1498,"Mgmt",2008
1499,"Roger Glover & Guests",1975
1500,"Frank Sinatra",1980
1501,"The Doors",1967
1502,"U2",2004
1503,"Michael Jackson",1979
1504,"Dua Lipa",2016
1505,"Mink DeVille",1977
1506,"Rob de Nijs",1996
1507,"Jim Croce",1974
1508,"Toto",1988
1509,"Vitesse",1982
1510,"Lukas Graham",2015
1511,"Adele",2011
1512,"Muse",2004
1513,"The Cars",1984
1514,"Beastie Boys",1987
1515,"Lady Gaga",2009
1516,"U2",2004
1517,"Michael Jackson",1983
1518,"Sex Pistols",1977
1519,"Paul de Leeuw",1992
1520,"Black",1987
1521,"ABBA",1979
1522,"Alanis Morissette",1998
1523,"Simply Red",1995
1524,"The Temper Trap",2009
1525,"Pet Shop Boys",1986
1526,"Saybia",2002
1527,"Of Monsters And Men",2012
1528,"Toontje Lager",1983
1529,"Sandy Coast",1971
1530,"Barbra Streisand",1978
1530,"Neil Diamond",1978
1531,"ABBA",1977
1532,"Anouk",2009
1533,"Randy Crawford",1980
1534,"The Cure",1985
1535,"Coldplay",2009
1536,"The Allman Brothers Band",1976
1537,"Beyoncé",2011
1538,"Shawn Mendes",2016
1539,"Ultravox",1984
1540,"Saybia",2004
1541,"One Republic",2013
1542,"Creedence Clearwater Revival",1969
1543,"Billy Joel",1977
1544,"Johnny Cash",1972
1545,"Michael Jackson",1993
1546,"Gossip",2009
1547,"Coldplay",2002
1548,"Frank Boeijen Groep",1987
1549,"Elton John",1976
1550,"Alice In Chains",1992
1551,"Ilse DeLange",1998
1552,"The Rolling Stones",1964
1553,"Paul Simon",1975
1554,"The Black Keys",2011
1555,"Whitney Houston",1987
1556,"Van Halen",1987
1557,"Steely Dan",1972
1558,"Zucchero Fornaciari",1988
1558,"Paul Young",1988
1559,"Carpenters",1970
1560,"Anouk",1999
1561,"Tom Petty",1990
1562,"Tom Petty",1992
1563,"Sade",1992
1564,"The Sweet",1975
1565,"Paolo Nutini",2006
1566,"Dido",2003
1567,"Cockney Rebel",1975
1567,"Steve Harley",1975
1568,"Ella Fitzgerald",1957
1568,"Louis Armstrong",1957
1569,"Keane",2005
1570,"Richard Harris",1968
1571,"Rob de Nijs",1975
1572,"DC Lewis",1970
1573,"Neil Diamond",1980
1574,"Dr. Dre",1996
1574,"2Pac",1996
1575,"Crosby, Stills, Nash & Young",1970
1576,"The Rolling Stones",1965
1577,"Justin Timberlake",2002
1578,"Pixies",1989
1579,"Supertramp",1979
1580,"Yazoo",1982
1581,"Arcade Fire",2013
1582,"Eurythmics",1985
1583,"Bruce Springsteen",1987
1584,"Paul Simon",1980
1585,"White Lies",2009
1586,"The Byrds",1965
1587,"U2",2006
1587,"Green Day",2006
1588,"Foreigner",1985
1589,"The Cats",1969
1590,"Michael Jackson",1983
1591,"Herman Brood & His Wild Romance",1978
1592,"Nick & Simon",2007
1593,"The Beatles",1964
1594,"Propaganda",1985
1595,"Kane",2009
1596,"Brian May",1992
1597,"Matt Simons",2014
1598,"Robert Miles",1996
1599,"Grace Jones",1977
1600,"Frankie Goes To Hollywood",1984
1601,"Kovacs",2015
1602,"Shirley Bassey",1979
1603,"Stereophonics",2005
1604,"Coldplay",2008
1605,"Marco Borsato",1994
1606,"Beyoncé",2008
1607,"The Monkees",1966
1608,"Nielson",2014
1609,"Smashing Pumpkins",1995
1610,"Aerosmith",1993
1611,"Rowwen Hèze",1992
1612,"Phil Collins",1982
1613,"The Who",1969
1614,"Ray Charles",1960
1615,"America",1972
1616,"Dire Straits",1985
1617,"ABBA",1975
1618,"Jamiroquai",1996
1619,"Reinhard Mey",1974
1620,"Mumford & Sons",2013
1621,"Steely Dan",1973
1622,"Whitney Houston",1986
1623,"The Police",1980
1624,"Sugarhill Gang",1979
1625,"Prince",1991
1626,"Patrick Hernandez",1979
1627,"Kenny B.",2015
1628,"Bob Marley & The Wailers",1984
1629,"A Balladeer",2006
1630,"Boudewijn de Groot",1968
1631,"Fugees",1996
1632,"Cream",1968
1633,"Birdy",2011
1634,"The Black Crowes",1990
1635,"The Cranberries",1995
1636,"Kensington",2015
1637,"Billy Joel",1979
1638,"Eric Clapton",1985
1639,"Jewel",1997
1640,"Van Morrison",1970
1641,"Run DMC",1986
1641,"Aerosmith",1986
1642,"The Human League",1982
1643,"Jeff Buckley",1994
1644,"Ilse DeLange",1998
1645,"Lady Gaga",2009
1646,"Wet Wet Wet",1994
1647,"Led Zeppelin",1971
1648,"Family Of The Year",2014
1649,"Elvis Presley",1963
1650,"Green Day",1995
1651,"Katy Perry",2013
1652,"Billy Idol",1984
1653,"Norah Jones",2004
1654,"Queens Of The Stone Age",2013
1655,"INXS",1984
1656,"Nina Hagen",1979
1657,"Bon Jovi",1993
1658,"Taylor Swift",2014
1659,"Madonna",1987
1660,"Queen",1996
1661,"Cliff Richard & The Young Ones",1986
1662,"Toto",1986
1663,"Philip Bailey",1985
1663,"Phil Collins",1985
1664,"The Chemical Brothers",2005
1665,"The Beatles",1963
1666,"Hans de Booij",1983
1667,"Level 42",1981
1668,"Eminem",2000
1669,"The Mamas & The Papas",1966
1670,"Michael Jackson",2014
1670,"Justin Timberlake",2014
1671,"Joe Jackson",1982
1672,"Lou Reed",1974
1673,"Level 42",1987
1674,"Bökkers",2016
1675,"Eminem",2002
1676,"Robbie Williams",2001
1677,"Carpenters",1973
1678,"Neil Diamond",1971
1679,"Wings",1977
1680,"Boston",1978
1681,"Prodigy",1994
1682,"Thin Lizzy",1974
1683,"UK",1979
1684,"Andre Hazes Jr.",2016
1685,"The Kinks",1966
1686,"George Ezra",2014
1687,"Beck",1994
1688,"Genesis",1986
1689,"Ed Sheeran",2017
1690,"George Michael",1999
1690,"Mary J Blige",1999
1691,"Tom Waits",1976
1692,"The Smiths",1984
1693,"The Robert Cray Band",1987
1694,"Duncan Browne",1979
1695,"Buffalo Springfield",1967
1696,"Young Gun Silver Fox",2016
1697,"Daft Punk",2016
1698,"Bob Dylan",1966
1699,"Marilyn Manson",1996
1700,"Bee Gees",1969
1701,"Coldplay",2011
1702,"Blondie",1979
1703,"The Beatles",1964
1704,"Mecano",1990
1705,"Editors",2015
1706,"Reinhard Mey",1975
1707,"Michael Kiwanuka",2016
1708,"David Bowie",1975
1709,"ABC",1982
1710,"Roxy Music",1976
1711,"Clouseau",1990
1712,"Jefferson Airplane",1970
1713,"The Clash",1980
1714,"Spider Murphy Gang",1982
1715,"Nothing But Thieves",2017
1716,"U2",2001
1717,"U2",2009
1718,"Roxy Music",1972
1719,"Frank Zappa",1979
1720,"Leonard Cohen",1971
1721,"The Isley Brothers",1973
1722,"Bad Company",1975
1723,"The Jam",1980
1724,"Barry McGuire",1965
1725,"Robert Long",1974
1726,"Frank Sinatra",1956
1727,"Elbow",2008
1728,"Jacques Brel",1961
1729,"Weather Girls",1983
1730,"Elton John",1994
1731,"Simply Red",1991
1732,"Justin Bieber",2015
1733,"Roxette",1990
1734,"The Script",2014
1735,"Neil Young",1972
1736,"Billy Idol",1982
1737,"Genesis",1992
1738,"Matt Simons",2013
1739,"Bryan Ferry",1976
1740,"The Beatles",1965
1741,"Keane",2005
1742,"Rihanna",2012
1743,"Coldplay",2006
1744,"Jett Rebel",2014
1745,"The Chemical Brothers",1999
1746,"Them",1967
1747,"Counting Crows",2004
1748,"Otis Redding",1965
1749,"Coldplay",2008
1750,"Niels Geusebroek",2013
1751,"The Police",1979
1752,"Bruno Mars",2010
1753,"Michael Kiwanuka",2012
1754,"Deep Purple",1973
1755,"INXS",1987
1756,"The Beatles",1970
1757,"Stef Bos",1992
1758,"André Hazes",1981
1759,"Phil Lynott",1982
1760,"Paul Young",1984
1761,"Bruce Springsteen",2008
1762,"Billy Joel",1989
1763,"Kaiser Chiefs",2005
1764,"Haevn",2015
1765,"China Crisis",1984
1766,"Gnarls Barkley",2006
1767,"The Rolling Stones",1978
1768,"Shawn Mendes",2015
1769,"Eagles",1972
1770,"Smashing Pumpkins",1995
1771,"The Beatles",1967
1772,"Billy Joel",1983
1773,"Robbie Williams",1999
1774,"Nena",1983
1775,"A-Ha",1986
1776,"Boney M",1978
1777,"Jamiroquai",2005
1778,"Rihanna",2013
1778,"Mikky Ekko",2013
1779,"Bløf",2007
1780,"Robert Palmer",1978
1781,"Lenny Kravitz",1991
1782,"Roy Orbison",1964
1783,"Mr. Probz",2014
1784,"Beyoncé",2011
1785,"The Beatles",1963
1786,"Kayak",1977
1787,"Tröckener Kecks",1990
1788,"Sam Smith",2015
1789,"Boudewijn de Groot",1965
1790,"Deus",1994
1791,"Frank Sinatra",1966
1792,"Steely Dan",1974
1793,"Neil Diamond",1972
1794,"Twarres",2000
1795,"Pet Shop Boys",1993
1796,"Haddaway",1992
1797,"Led Zeppelin",1971
1798,"Enigma",1990
1799,"Martin Garrix",2016
1799,"Bebe Rexha",2016
1800,"Sade",1985
1801,"Michael Bublé",2004
1802,"Elton John",1973
1803,"Laura Pausini",1993
1804,"André Hazes",1980
1805,"ABBA",1980
1806,"Plain White T's",2007
1807,"The Beatles",1966
1808,"The Cats",1968
1809,"Santana",1971
1810,"Heart",1976
1811,"Jon & Vangelis",1982
1812,"Golden Earring",1968
1813,"Tom Petty",1989
1814,"Bløf",2014
1815,"Commodores",1978
1816,"Tom Jones",1966
1817,"Roxy Music",1981
1818,"Aerosmith",1993
1819,"Arcade Fire",2010
1820,"The Moody Blues",1968
1821,"K's Choice",1998
1822,"Small Faces",1968
1823,"Eagles",1972
1824,"Raymond Van Het Groenewoud",1980
1825,"Marco Borsato",1994
1826,"Johan",2001
1827,"Berlin",1986
1828,"Norah Jones",2002
1829,"Radiohead",1995
1830,"The Jackson Five",1970
1831,"Marvin Gaye",1967
1831,"Tammi Terrell",1967
1832,"INXS",1990
1833,"Joe Cocker",1982
1833,"Jennifer Warnes",1982
1834,"Golden Earring",1979
1835,"Elvis",2002
1835,"JXL",2002
1836,"Tears For Fears",1982
1837,"Douwe Bob",2016
1838,"2 Brothers On The 4th Floor",1993
1839,"Bee Gees",1967
1840,"James Arthur",2016
1841,"Bette Midler",1988
1842,"The Kinks",1964
1843,"Bad English",1991
1843,"John Waite",1991
1844,"Earth & Fire",1970
1845,"Queens Of The Stone Age",2005
1846,"Ekseption",1969
1847,"Neil Young",1970
1848,"Adamski",1990
1849,"Chicago",1985
1850,"Buddy Holly",1957
1851,"Kid Rock",2008
1852,"Spandau Ballet",1983
1853,"J.J. Cale",1973
1854,"Bløf",2000
1855,"Armin van Buuren",2017
1855,"Josh Cumbee",2017
1856,"André Hazes",1980
1857,"Boudewijn de Groot",1972
1858,"Michael Jackson",1982
1859,"Pink Floyd",1967
1860,"Status Quo",1986
1861,"Van Dik Hout",1994
1862,"Procol Harum",1967
1863,"Simply Red",2003
1864,"Rod Stewart",1977
1865,"Snow Patrol",2006
1865,"Martha Wainright",2006
1866,"Macklemore & Ryan Lewis",2013
1867,"Bruno Mars",2013
1868,"Billy Joel",1978
1869,"Queen",1995
1870,"Joy Division",1980
1871,"Orchestral Manoeuvres In The Dark",1980
1872,"Herman van Veen",1987
1873,"Bram Vermeulen",1991
1874,"Tom Odell",2013
1875,"Causes",2014
1876,"Magna Carta",1973
1877,"Kaleo",2016
1878,"Marco Borsato",2004
1878,"Ali B",2004
1879,"John Denver",1975
1880,"Passenger",2013
1881,"Bill Medley",1987
1881,"Jennifer Warnes",1987
1882,"The Beatles",1968
1883,"Van Morrison",1979
1884,"The Rolling Stones",1966
1885,"Icehouse",1987
1886,"Wild Cherry",1976
1887,"Bløf",2011
1888,"Womack & Womack",1988
1889,"Tina Turner",1974
1890,"Manfred Mann's Earth Band",1978
1891,"Wham!",1983
1892,"The Script",2014
1893,"Stevie Wonder",1976
1894,"UB40",1985
1894,"Chrissie Hynde",1985
1895,"The Beatles",1965
1896,"Ramses Shaffy",1975
1897,"The Beatles",1966
1898,"Slade",1973
1899,"Bruno Mars",2012
1900,"U2",1991
1901,"Joe Jackson",1982
1902,"Eagles",1979
1903,"Natalie Imbruglia",1997
1904,"Fleetwood Mac",1978
1905,"Florence + The Machine",2009
1906,"Anouk",1998
1907,"The Rolling Stones",1974
1908,"Kanye West",2011
1908,"Jay Z",2011
1909,"Nirvana",1993
1910,"Sam Smith",2014
1911,"Phil Collins",1990
1912,"Heart",1990
1913,"LP",2016
1914,"Dire Straits",1978
1915,"Madonna",1986
1916,"The Cure",1989
1917,"Michael Prins",2013
1918,"The Sweet",1973
1919,"The Babys",1978
1920,"Cyndi Lauper",1984
1921,"Bruce Springsteen",1995
1922,"Stealers Wheel",1973
1923,"The Rolling Stones",1971
1924,"Simon & Garfunkel",1966
1925,"De Dijk",2012
1926,"The Boomtown Rats",1979
1927,"Jim Croce",1975
1928,"Birdy",2011
1929,"Michael Jackson",1987
1930,"Baz Luhrman",1999
1931,"Enrique Iglesias",2001
1932,"Loreen",2012
1933,"Ramones",1980
1934,"Elvis Costello",1981
1935,"Racoon",2006
1936,"John Lennon",1981
1937,"City To City",1999
1938,"Bløf",2001
1939,"Fleetwood Mac",1968
1940,"Kate Bush",1980
1941,"Beastie Boys",1987
1942,"Michael Bublé",2007
1943,"Ekseption",1969
1944,"Aretha Franklin",1987
1944,"George Michael",1987
1945,"Pink Floyd",1971
1946,"Golden Earring",1976
1947,"Beyoncé",2002
1947,"Jay Z",2002
1948,"The Walker Brothers",1976
1949,"Donovan",1969
1950,"The Who",1971
1951,"Nirvana",1993
1952,"Elvis Presley",1956
1953,"Bruce Springsteen",1975
1954,"Billy Paul",1973
1955,"Diesel",1980
1956,"T'Pau",1987
1957,"Metallica",1997
1958,"Jeff Buckley",1994
1959,"Benny Neyman",1985
1960,"Guus Meeuwis",2007
1961,"Suzanne Vega",1987
1962,"Portugal. The Man",2017
1963,"George Baker Selection",1975
1964,"Golden Earrings",1967
1965,"Avicii",2014
1966,"Pulp",1995
1967,"Katy Perry",2017
1967,"Skip Marley",2017
1968,"Florence + The Machine",2015
1969,"Hot Chocolate",1974
1970,"Björk",1993
1971,"Bob Seger & The Silver Bullet Band",1980
1972,"Crosby, Stills & Nash",1969
1973,"Herman Brood & His Wild Romance",1980
1974,"Prince",1987
1975,"Zucchero Fornaciari",1986
1976,"Bob Dylan",1969
1977,"Tracy Chapman",1988
1978,"Blackstreet",1996
1978,"Dr. Dre",1996
1979,"Imagine Dragons",2017
1980,"Daniel Lohues",2014
1981,"Axwell Λ Ingrosso",2015
1982,"Kraftwerk",1978
1983,"The Monkees",1967
1984,"One Direction",2013
1985,"Maroon 5",2015
1986,"USA For Africa",1985
1987,"The Beatles",1967
1988,"Earth Wind & Fire",1979
1989,"The Doors",1971
1990,"The Rolling Stones",1965
1991,"Het Goede Doel",1983
1992,"Eagle Eye Cherry",1998
1993,"Bob Marley & The Wailers",1973
1994,"The Rolling Stones",1976
1995,"Prince",1983
1996,"Sam & Dave",1967
1997,"Stone Roses",1990
1998,"Ronan Keating",1999
1999,"Amy Macdonald",2008
2000,"Chaka Khan",1979
